barrio,ambientes,metro_cuadrado,precio
Abasto,2,31,75000
Abasto,1,22,48000
Abasto,4,107,270000
Abasto,1,20,59000
Abasto,4,107,270000
Abasto,1,32,82000
Abasto,5,104,330000
Abasto,4,107,270000
Abasto,5,104,330000
Abasto,3,53,98000
Abasto,4,113,119000
Abasto,2,33,70000
Abasto,3,75,184000
Abasto,5,104,330000
Abasto,3,85,189500
Abasto,4,73,235000
Abasto,4,73,210000
Abasto,1,29,110000
Abasto,4,96,250000
Abasto,3,40,103000
Abasto,2,43,132411
Abasto,6,116,208000
Abasto,3,96,240000
Abasto,5,104,330000
Abasto,3,75,169000
Abasto,3,40,110000
Abasto,2,44,115000
Abasto,2,40,124900
Abasto,2,40,102000
Abasto,2,29,75000
Abasto,4,102,255000
Abasto,4,73,235000
Abasto,3,70,155000
Abasto,3,65,177000
Abasto,1,35,87000
Abasto,2,42,149000
Abasto,4,102,255000
Abasto,4,73,235000
Abasto,4,73,210000
Abasto,3,75,185000
Abasto,2,31,75000
Abasto,2,35,109000
Abasto,6,116,208000
Abasto,1,29,85000
Abasto,4,102,255000
Abasto,4,73,235000
Abasto,2,48,93000
Abasto,3,75,185000
Abasto,5,104,330000
Abasto,2,40,102000
Abasto,3,58,173000
Abasto,3,58,185000
Abasto,4,73,220000
Abasto,1,41,80000
Abasto,3,75,183000
Abasto,2,31,75000
Abasto,6,116,210000
Abasto,3,78,164900
Abasto,5,104,330000
Abasto,1,44,95000
Abasto,2,50,109000
Abasto,2,40,102000
Abasto,1,50,109000
Abasto,2,44,95000
Abasto,3,58,173000
Abasto,2,33,67000
Abasto,3,75,175000
Abasto,5,104,330000
Abasto,3,58,185000
Abasto,4,73,235000
Abasto,4,73,220000
Abasto,5,104,330000
Abasto,2,35,58000
Abasto,2,44,99000
Abasto,2,41,96000
Abasto,1,44,99000
Abasto,2,50,109000
Abasto,1,50,109000
Abasto,2,41,96000
Abasto,3,75,175000
Abasto,3,75,170000
Abasto,3,63,245000
Abasto,4,102,255000
Abasto,4,73,235000
Abasto,4,75,145000
Abasto,4,73,210000
Abasto,5,104,330000
Abasto,6,116,250000
Abasto,1,44,105000
Abasto,1,50,115000
Abasto,2,50,115000
Abasto,2,44,105000
Abasto,2,33,73000
Abasto,3,65,183000
Abasto,6,116,208000
Abasto,1,39,102000
Abasto,4,79,259000
Abasto,2,41,150000
Abasto,5,104,330000
Abasto,2,43,132411
Abasto,5,104,330000
Abasto,3,67,259000
Abasto,1,44,99000
Abasto,1,50,109000
Abasto,2,50,109000
Abasto,2,44,99000
Abasto,2,43,89500
Abasto,3,75,183000
Abasto,1,26,55000
Abasto,3,53,140000
Abasto,3,51,137000
Abasto,4,85,195000
Abasto,5,104,330000
Abasto,4,73,235000
Abasto,1,42,128000
Abasto,1,37,95500
Abasto,2,37,115000
Abasto,3,58,185000
Abasto,4,107,270000
Abasto,3,52,115000
Abasto,2,41,99000
Abasto,3,75,175000
Abasto,3,75,175000
Abasto,2,40,102000
Abasto,5,78,99000
Abasto,1,15,40000
Abasto,3,75,185000
Abasto,2,30,49900
Abasto,3,82,185000
Abasto,2,41,98000
Abasto,2,40,105000
Abasto,3,75,175000
Abasto,3,75,175000
Abasto,3,75,130000
Abasto,4,73,235000
Abasto,4,73,210000
Abasto,4,102,255000
Abasto,3,82,205000
Abasto,2,32,85000
Abasto,2,29,79000
Abasto,2,40,129000
Abasto,5,104,330000
Abasto,2,43,132411
Abasto,2,43,132411
Abasto,3,58,185000
Abasto,4,73,235000
Abasto,4,73,209000
Abasto,4,102,255000
Abasto,2,40,125000
Abasto,4,73,235000
Abasto,4,73,220000
Abasto,2,41,96000
Abasto,3,67,240000
Abasto,3,57,125000
Abasto,3,67,259000
Abasto,3,75,175000
Abasto,3,82,430000
Abasto,3,58,185000
Abasto,4,75,228000
Abasto,2,50,109000
Abasto,1,44,99000
Abasto,2,44,99000
Abasto,1,50,109000
Abasto,4,79,259000
Abasto,2,31,75000
Abasto,4,80,200000
Abasto,6,116,210000
Abasto,2,46,145000
Abasto,3,74,129600
Abasto,4,86,169000
Abasto,2,,135000
Abasto,2,41,85000
Abasto,3,76,249000
Abasto,4,92,269000
